request_id,timestamp,_id,date,day_name,hour,city,station_id,station_name,free_bikes,empty_slots
Toronto-DGmpe95n,2024-07-25T05:54:21.806000Z,WellingtonStW/BaySt--ZbkjfboF,2024-07-25,Thursday,00:03,Toronto,045a7a6b973238dc76bc058e4f33f143,Wellington St W / Bay St,0,55
Toronto-6ApBWqyY,2024-07-25T05:54:17.331000Z,GreenwoodAve/GerrardStE--a8bcNoaQ,2024-07-25,Thursday,00:03,Toronto,58d6f7db09c9e2f543e26eca10ea7cb6,Greenwood Ave / Gerrard St E,7,7
Toronto-mdu42wq4,2024-07-25T05:54:21.828000Z,SimcoeSt/WellingtonStWSouth--hwETwadn,2024-07-25,Thursday,00:03,Toronto,dcbcf9c681fbd3e77dfbea6df0e070bc,Simcoe St / Wellington St W South,0,25
Toronto-eRQYAKTN,2024-07-25T05:54:22.438000Z,GeorgeSt/KingStE--5nUdt6iZ,2024-07-25,Thursday,00:03,Toronto,f622ddb7efda3e9074e12ac16bc7fdd7,George St / King St E,12,1
Toronto-Cz37yOC1,2024-07-25T05:54:21.238000Z,DundasStW/CrawfordSt--N2coZg43,2024-07-25,Thursday,00:03,Toronto,9d62413fcaba8ee2d11737b28e8651be,Dundas St W / Crawford St,13,33
Toronto-17NGRSP4,2024-07-25T05:54:22.183000Z,OssingtonAve/BruceSt--s0Xfr3Ij,2024-07-25,Thursday,00:03,Toronto,5539f3700e4ce9e5701353a667924538,Ossington Ave / Bruce St,9,6
Toronto-zdCYPU81,2024-07-25T05:54:22.401000Z,BloorStW/BalmutoSt--noFwruFN,2024-07-25,Thursday,00:03,Toronto,5dc890e084bc63659659eb43adf210f5,Bloor St W / Balmuto St,0,11
Toronto-xh9Uw5I6,2024-07-25T05:54:21.636000Z,ParliamentSt/AberdeenAve--ikarlc7q,2024-07-25,Thursday,00:03,Toronto,d16798795a3beff0c7f297cee88deb70,Parliament St / Aberdeen Ave,11,3
Toronto-ehv4Iukx,2024-07-25T05:54:17.326000Z,ChathamAve/ByronAve--Aq9YBKX2,2024-07-25,Thursday,00:03,Toronto,e8761ce9af6e4ae2a1eaaaf420b2cd71,Chatham Ave / Byron Ave,2,12
Toronto-eVeizYPY,2024-07-25T05:54:18.758000Z,WakundaPl/O'ConnorDr--LIsi32pt,2024-07-25,Thursday,00:03,Toronto,77d773b9a22a3e2a912a636d4ab89a54,Wakunda Pl / O'Connor Dr,4,6
