request_id,timestamp,_id,date,day_name,hour,city,station_id,station_name,free_bikes,empty_slots
Montreal-qqZbxtAe,2024-07-26T04:51:47.344000Z,deGaspé/Fairmount--5bBdyzBt,2024-07-25,Thursday,22:51,Montreal,0daffa0f2290fcf3a58b579d914c16cc,de Gaspé / Fairmount,2,20
Montreal-k44kzdZr,2024-07-26T04:40:17.804000Z,Henri-Julien/duCarmel--BdUk5NH8,2024-07-25,Thursday,22:51,Montreal,4c6ee625de158c398332f0bce7a5ee9f,Henri-Julien / du Carmel,7,16
Montreal-8VZiSuNp,2024-07-26T04:40:17.612000Z,del'Hôtel-de-Ville/Villeneuve--apzNA19k,2024-07-25,Thursday,22:51,Montreal,510a14e4eb76249f0477e2256b4eedd7,de l'Hôtel-de-Ville / Villeneuve,9,13
Montreal-C49QELAt,2024-07-26T04:51:47.333000Z,Hélène-Baillargeon/St-Denis--0iUzLkrZ,2024-07-25,Thursday,22:51,Montreal,4de7379430623fca6d843562d1ce43e6,Hélène-Baillargeon / St-Denis,13,4
Montreal-cn8CpFjQ,2024-07-26T04:40:19.853000Z,Vallières/St-Laurent--3hC66aNN,2024-07-25,Thursday,22:51,Montreal,8e960ee01aeaabf154ed0de7706cba84,Vallières / St-Laurent,20,3
Montreal-FqrqaYgz,2024-07-26T04:40:20.011000Z,Hutchison/VanHorne--6oe2Bn4x,2024-07-25,Thursday,22:51,Montreal,99bb7462f129883fb6a5e88e688a7377,Hutchison / Van Horne,10,9
Montreal-vudZTsey,2024-07-26T04:51:47.400000Z,Waverly/Bernard--iqsP5TQs,2024-07-25,Thursday,22:51,Montreal,a7f948d13af46099ebb555d4d25d4567,Waverly / Bernard,16,6
Montreal-WDpWE0aB,2024-07-26T04:40:17.104000Z,deSt-Vallier/St-Zotique--x7q0KLYx,2024-07-25,Thursday,22:51,Montreal,c88102464b88e2dae390420e94d969a9,de St-Vallier / St-Zotique,8,11
Montreal-EscCoRfh,2024-07-26T04:40:17.537000Z,desPins/Hutchison--CPMwYS6B,2024-07-25,Thursday,22:51,Montreal,09d8a78e2a08d9f1f4ab81c09198acf3,des Pins / Hutchison,0,23
Montreal-4c8nwdEN,2024-07-26T04:40:15.684000Z,Chambord/Gilford--ZGgiOKCk,2024-07-25,Thursday,22:51,Montreal,210bb64df496d2f79181a4c8be41419d,Chambord / Gilford,15,3
Montreal-Tf2LRq6W,2024-07-26T04:40:17.648000Z,Maguire/St-Laurent--V901Fk2m,2024-07-25,Thursday,22:51,Montreal,16a02da5dfbb9169ba09818f80797447,Maguire / St-Laurent,2,21
Montreal-QJUSnJss,2024-07-26T04:40:17.870000Z,Gilford/desÉrables--tPSHQ3EX,2024-07-25,Thursday,22:51,Montreal,7d10cc3be562e52b9c9787752b1991f8,Gilford / des Érables,16,3
Montreal-6SsWq8R9,2024-07-26T04:40:21.277000Z,deBordeaux/Rachel--eHlH3MAS,2024-07-25,Thursday,22:51,Montreal,09cef143d6e60e226015fbdf71c2d345,de Bordeaux / Rachel,21,0
Montreal-xwKY0rkL,2024-07-26T04:40:21.206000Z,Marquette/duMont-Royal--y8pJc2X4,2024-07-25,Thursday,22:51,Montreal,c752d8b62e9fb1db8cab2c9b414c8ddf,Marquette / du Mont-Royal,12,10
Montreal-URnNgN3A,2024-07-26T04:40:19.416000Z,Marquette/Laurier--dvxhh30M,2024-07-25,Thursday,22:51,Montreal,548d982f0a3ef288c42eb4e689272c61,Marquette / Laurier,26,1
Montreal-GXT4ZTkA,2024-07-26T04:40:21.238000Z,Gilford/deBrébeuf--fGJsjyao,2024-07-25,Thursday,22:51,Montreal,cc88d8f8a364b686cdd744b1eafedeff,Gilford / de Brébeuf,5,18
Montreal-TyWfZIJG,2024-07-26T04:40:15.752000Z,Marquette/Rachel--umZkpmXE,2024-07-25,Thursday,22:51,Montreal,a2c46273aac398c46a03e72aac69153b,Marquette / Rachel,5,10
Montreal-mT5tzOz1,2024-07-26T04:40:17.013000Z,St-André/Cherrier--GtAN0zDF,2024-07-25,Thursday,22:51,Montreal,115474ece7fe0aa5e0a79e56b11b3c8c,St-André / Cherrier,27,0
Montreal-LI4LMaax,2024-07-26T04:40:21.180000Z,Messier/duMont-Royal--exmOnQxP,2024-07-25,Thursday,22:51,Montreal,7ade71dc0f1e89d5e60fa41449efd516,Messier / du Mont-Royal,32,2
Montreal-81q4pUJS,2024-07-26T04:40:15.688000Z,St-Dominique/Napoléon--F1Xq6tYR,2024-07-25,Thursday,22:51,Montreal,38a5272f540008af3bbca0d281fa3f9c,St-Dominique / Napoléon,11,7
Montreal-yonaA2JC,2024-07-26T04:40:21.049000Z,del'Esplanade/Villeneuve--yzUHnisb,2024-07-25,Thursday,22:51,Montreal,4d1355baaff5d1f22441110f464bde78,de l'Esplanade / Villeneuve,16,3
Montreal-4IwjZJ4a,2024-07-26T04:51:47.098000Z,Jeanne-d'Arc/Ontario--IYCfTBZd,2024-07-25,Thursday,22:51,Montreal,9dbc225970bc3623c91fd503d77751ef,Jeanne-d'Arc / Ontario,4,19
Montreal-ou98GJbZ,2024-07-26T04:40:20.421000Z,Poupart/Ontario--pDKT8QVn,2024-07-25,Thursday,22:51,Montreal,03ded6d6c0277b031f18feae9c518a75,Poupart / Ontario,15,3
Montreal-ps1sRjqy,2024-07-26T04:40:16.599000Z,Logan/deChamplain--Msi1xq80,2024-07-25,Thursday,22:51,Montreal,485d66968361b44b2fbfa4a1384d87f1,Logan / de Champlain,18,0
Montreal-Nc7WZ5Gn,2024-07-26T04:40:20.444000Z,ParcBaldwin(Chapleau/Sherbrooke)--7nUsaqv5,2024-07-25,Thursday,22:51,Montreal,ebdddf885baaef4c41adb972137a7012,Parc Baldwin (Chapleau / Sherbrooke),0,38
Montreal-q8hjK2qR,2024-07-26T04:51:47.305000Z,JeanLanglois/Fullum--9v8Z7747,2024-07-25,Thursday,22:51,Montreal,5aaf47dc0e0960e251b829e0aa574ed7,Jean Langlois / Fullum,0,30
Montreal-P2GrMaSd,2024-07-26T04:40:18.001000Z,Fullum/Marie-Anne--La8h8Y6W,2024-07-25,Thursday,22:51,Montreal,6b566fd6a50d2693ee4c6a56bbf20b13,Fullum / Marie-Anne,24,3
Montreal-eHNMjOlD,2024-07-26T04:40:16.156000Z,Montcalm/Ontario--WthKwyre,2024-07-25,Thursday,22:51,Montreal,a39ecc2edf78db413094a4f6e7c898e8,Montcalm / Ontario,27,0
Montreal-P7ytzhdI,2024-07-26T04:40:17.232000Z,deMentana/Marie-Anne--A3G4BAn3,2024-07-25,Thursday,22:51,Montreal,b3595b16fa264069717263de34d8abab,de Mentana / Marie-Anne,21,5
Montreal-owSQSxwA,2024-07-26T04:40:20.914000Z,Durocher/Beaumont--XOzaIUC4,2024-07-25,Thursday,22:51,Montreal,b15109d9282a8fb0f2bf73265d357c8d,Durocher / Beaumont,6,12
